Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
353,NM8ES,145.320000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,"NM8ES near Elmira, Otsego County, Michigan OPEN",,,,
354,NM8ES,444.112500,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DV,12.50,,50W,"NM8ES near Elmira, Otsego County, Michigan OPEN",,,,
355,Mt Holiday,146.960000,-,0.600000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"KD8REH near Traverse City, Grand Traverse County, Michigan OPEN",,,,
356,W8MAI,442.775000,+,5.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8MAI near Bridgman, Berrien County, Michigan OPEN Repeater will be linked to the 146.82 MHz W8MAI repeater at a later date.",,,,
357,WB8TQZ,147.020000,+,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"WB8TQZ near Rogers City, Presque Isle County, Michigan OPEN",,,,
358,KF9C,145.170000,-,0.600000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"KF9C near Kaleva, Manistee County, Michigan OPEN",,,,
359,W8IRA,145.150000,-,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8IRA near Traverse City, Grand Traverse County, Michigan OPEN",,,,
360,W8TVC,145.270000,-,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8TVC near Traverse City, Grand Traverse County, Michigan OPEN",,,,
361,W8QPO,442.900000,+,5.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8QPO near Traverse City, Grand Traverse County, Michigan OPEN",,,,
362,KJ4KFJ,443.000000,+,5.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"KJ4KFJ near Traverse City, Grand Traverse County, Michigan OPEN",,,,
363,K8DXF,145.470000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"K8DXF near Ludington, Mason County, Michigan OPEN",,,,
364,Munson Med Ctr,147.260000,+,0.600000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"N8DMH near Traverse City, Grand Traverse County, Michigan OPEN",,,,
365,Munson Med Ctr,444.350000,+,5.000000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,DMR,5.00,,50W,"N8DMH near Traverse City, Grand Traverse County, Michigan OPEN Linked to YSF reflector 09152 US-N8DMH-YSF Feel Free to use and have fun. Linked to 442.2875 In Leelanau County, 443.375 In Stutsmanville, 146.740 in Cheboygan County, 145.11 in Downtown Mackinaw City. Spectrum Internet for linking, Failover to Starlink if Spectrum fails.",,,,
366,KD8OXV,443.312500,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,12.50,,50W,"KD8OXV near Traverse City, Grand Traverse County, Michigan OPEN",,,,
367,W8IRA,145.310000,-,0.600000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8IRA near Ludington, Mason County, Michigan OPEN",,,,
368,WB8ERN,146.620000,-,0.600000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"WB8ERN near Ludington, Mason County, Michigan OPEN",,,,
369,W8TCM,146.860000,-,0.600000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8TCM near Traverse City, Grand Traverse County, Michigan OPEN",,,,
370,W8TCM,442.500000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,"W8TCM near Traverse City, Grand Traverse County, Michigan OPEN DMR repeater. Timeslot 1 - TGIF Network Timeslot 2 - Brandmeister Mi5 C-Bridge. See Mi5.cc for details on Mi5 talkgroups.",,,,
371,KF8KK,444.725000,+,5.000000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,DN,5.00,,50W,"KF8KK near Glen Arbor, Leelanau County, Michigan OPEN",,,,
372,Crystal Mtn,147.040000,+,0.600000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,DN,5.00,,50W,"W8BNZ near Thompsonville, Benzie County, Michigan OPEN",,,,
373,Fire Dept,442.287500,+,5.000000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,DN,12.50,,50W,"N8DMH near Traverse City, Grand Traverse County, Michigan OPEN",,,,
374,W8GJX,146.780000,-,0.600000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8GJX near Manistee, Manistee County, Michigan OPEN",,,,
375,W8COL,147.280000,+,0.600000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8COL near East Jordan, Charlevoix County, Michigan OPEN",,,,
376,W8CCE,146.740000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8CCE near Cheboygan, Cheboygan County, Michigan OPEN Full-time Allstar linked to the 443.375 in Petoskey, the 145.11 in Mackinaw City and the 444.350 in Traverse City",,,,
377,W8CCE,443.375000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,"W8CCE near Petoskey, Emmet County, Michigan OPEN",,,,
378,W8CCE,145.190000,-,0.600000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8CCE near Petoskey, Emmet County, Michigan OPEN",,,,
379,Sheriff Dept,147.140000,+,0.600000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"WD8DX near Lake Leelanau, Leelanau County, Michigan OPEN",,,,
380,N8OCX,442.250000,+,5.000000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"N8OCX near Lake Leelanau, Leelanau County, Michigan OPEN",,,,
381,W8FSM,442.087500,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,12.50,,50W,"W8FSM near Alanson, Emmet County, Michigan OPEN c-Bridge partner with DMR-MARC",,,,
382,WD8DX,147.220000,+,0.600000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,FM,5.00,,50W,"WD8DX near Northport, Leelanau County, Michigan OPEN",,,,
383,W8GQN,146.680000,-,0.600000,TSQL,88.5,110.9,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8GQN near Stutsmanville, Emmet County, Michigan OPEN",,,,
384,WB8DEL,224.560000,-,1.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"WB8DEL near Stutsmanville, Emmet County, Michigan OPEN",,,,
385,WB8DEL,444.850000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"WB8DEL near Cheboygan, Cheboygan County, Michigan OPEN",,,,
386,W8AGB,145.110000,-,0.600000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8AGB near Mackinaw City, Cheboygan County, Michigan OPEN",,,,
387,W8AGB,444.375000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,"W8AGB near Mackinaw City, Cheboygan County, Michigan OPEN",,,,
388,W8EUP,146.640000,-,0.600000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8EUP near Pickford, Chippewa County, Michigan OPEN",,,,
389,KC8ZGB,145.370000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"KC8ZGB near Kincheloe, Chippewa County, Michigan OPEN",,,,
390,Water Tower,145.430000,-,0.600000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,FM,5.00,,50W,"KE8FJW near Sault Ste Marie, Chippewa County, Michigan OPEN",,,,
391,Water Tower,442.425000,+,5.000000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,DN,5.00,,50W,"KE8FJW near Sault Ste Marie, Chippewa County, Michigan OPEN",,,,
392,Water Tower,444.137500,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,12.50,,50W,"KE8FJW near Sault Ste Marie, Chippewa County, Michigan OPEN",,,,
393,W8NBY,444.037500,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DV,12.50,,50W,"W8NBY near Engadine, Mackinac County, Michigan OPEN",,,,
394,LSSU,147.210000,+,0.600000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8EUP near Sault Ste Marie, Chippewa County, Michigan OPEN",,,,
395,W8NBY,147.390000,+,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8NBY near Engadine, Mackinac County, Michigan OPEN",,,,
396,McNearny Lake,147.330000,+,0.600000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8EUP near Strongs, Chippewa County, Michigan OPEN",,,,
397,W8NBY,146.610000,-,0.600000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8NBY near Newberry, Luce County, Michigan OPEN",,,,
398,KF8BRW,146.700000,-,0.600000,Tone,110.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"KF8BRW near Cooks, Schoolcraft County, Michigan OPEN",,,,
399,K9STT,224.600000,-,1.600000,TSQL,88.5,141.3,023,NN,023,Tone->Tone,FM,5.00,,50W,"K9STT near Menominee, Menominee County, Michigan OPEN",,,,
400,W8PIF,444.075000,+,5.000000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,DN,5.00,,50W,"W8PIF near Menominee, Menominee County, Michigan OPEN",,,,
401,W8PIF,147.000000,+,0.600000,Tone,107.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8PIF near Menominee, Menominee County, Michigan OPEN",,,,
402,KB9BQX,145.130000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"KB9BQX near Escanaba, Delta County, Michigan OPEN",,,,
403,N8JWT,147.240000,+,0.600000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"N8JWT near Escanaba, Delta County, Michigan OPEN",,,,
404,K8PL,147.150000,+,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"K8PL near Escanaba, Delta County, Michigan OPEN",,,,
405,W8NBY,147.090000,+,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8NBY near Pine Stump Junction, Luce County, Michigan OPEN",,,,
406,KC8BAN,145.410000,-,0.600000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"KC8BAN near Wetmore, Alger County, Michigan OPEN",,,,
407,Holiday Gas Station,446.100000,,0.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"WB8Q near Wetmore, Alger County, Michigan OPEN Linked to FM38 Wisconsin System (www.fm38.org)",,,,
408,W8FYZ,147.030000,+,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8FYZ near Trenary, Alger County, Michigan OPEN",,,,
409,K8LOD,146.640000,-,0.600000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"K8LOD near Gwinn, Marquette County, Michigan OPEN",,,,
410,Iron Mtn,146.850000,-,0.600000,TSQL,88.5,110.9,023,NN,023,Tone->Tone,DN,5.00,,50W,"KC8VC near Kingsford, Dickinson County, Michigan OPEN Can be linked to 70-CM.",,,,
411,KC8VC,444.850000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"KC8VC near Iron Mountain, Dickinson County, Michigan OPEN Tied into the UP Linked System via UHF Remote Base.",,,,
412,KE8IL,146.970000,-,0.600000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"KE8IL near Marquette, Marquette County, Michigan OPEN Sunday evening Echolink System on.",,,,
413,KB0P,442.200000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,"KB0P near Marquette, Marquette County, Michigan OPEN",,,,
414,K8LOD,146.820000,-,0.600000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"K8LOD near Republic, Marquette County, Michigan OPEN",,,,
415,Cliffs Shaft Museum,146.910000,-,0.600000,Cross,88.5,100.0,023,NN,023,->Tone,FM,5.00,,50W,"K8LOD near Ishpeming, Marquette County, Michigan OPEN No PL tone required to access repeater. However, the repeater transmits a 100.0 Hz PL on the output to allow users to utilize PL decode on their radio to block out local interference.",,,,
416,K8LOD,147.270000,+,0.600000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"K8LOD near Marquette, Marquette County, Michigan OPEN Part of a 6-repeater RF linked system.",,,,
417,K8LOD,443.450000,+,5.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"K8LOD near Marquette, Marquette County, Michigan CLOSED This is a linked HUB; not for standard use. Linked to 6 repeaters in Marquette and Alger Counties.",,,,
418,Courthouse,145.230000,-,0.600000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,DN,5.00,,50W,"N8LVQ near Crystal Falls, Iron County, Michigan OPEN",,,,
419,NZ8U,147.090000,+,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"NZ8U near Republic, Marquette County, Michigan OPEN",,,,
420,Ski Brule Mtn,444.175000,+,5.000000,Tone,107.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"N8LVQ near Iron River, Iron County, Michigan OPEN",,,,
421,Ski Brule Mtn,145.170000,-,0.600000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,DN,5.00,,50W,"N8LVQ near Iron River, Iron County, Michigan OPEN Several linked repeaters to Yooper Net Room",,,,
422,KE8CPN,147.375000,+,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"KE8CPN near L'Anse, Baraga County, Michigan OPEN",,,,
423,N8ZED,147.345000,+,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"N8ZED near Baraga, Baraga County, Michigan OPEN",,,,
424,Wadsworth Hall,444.500000,+,5.000000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,"W8YY near Houghton, Houghton County, Michigan OPEN",,,,
425,Michigan Tech,146.600000,-,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8YY near Houghton, Houghton County, Michigan OPEN",,,,
426,W8CDZ,146.670000,-,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8CDZ near Donken, Houghton County, Michigan OPEN",,,,
427,W8UXG,146.730000,-,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8UXG near Winona, Houghton County, Michigan OPEN",,,,
428,College Avenue,447.120000,,0.000000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"W3TLP near Houghton, Houghton County, Michigan OPEN",,,,
429,N8WAV,147.390000,+,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"N8WAV near Houghton, Houghton County, Michigan OPEN",,,,
430,Calumet Air Force Station,444.750000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,"W8YY near Phoenix, Keweenaw County, Michigan OPEN Time Slot #1 – Group call 9061 = Wide 1 Time Slot #1 – Group call 9063 = local to CAFS Time Slot #2 – Group call 9062 = Wide 2 (where members of the club hangout most of the time) Time Slot #2 – Group call 9064 = local to CAFS",,,,
431,Mt Horace Greeley,147.315000,+,0.600000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8FWG near Calumet, Keweenaw County, Michigan OPEN",,,,
432,W8CDZ,146.880000,-,0.600000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8CDZ near Calumet, Keweenaw County, Michigan OPEN",,,,
433,AA8YF,147.300000,+,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"AA8YF near White Pine, Ontonagon County, Michigan OPEN",,,,
434,Blackjack Mtn,146.760000,-,0.600000,TSQL,88.5,110.9,023,NN,023,Tone->Tone,FM,5.00,,50W,"K8ATX near Bessemer, Gogebic County, Michigan OPEN",,,,
435,W9RCG,443.125000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,"W9RCG near Bessemer, Gogebic County, Michigan OPEN This is a c-Bridge repeater with limited connectivity to BrandMeister DMR Network",,,,
436,WX8NWS,446.025000,,0.000000,Cross,88.5,88.5,351,NN,023,DTCS->,DMR,5.00,,50W,"WX8NWS near Ironwood, Gogebic County, Michigan OPEN",,,,
